,user_id,combined_features
1940,83546,83546 0 paid_ins_organicfriend app_android Android App14.0
1979,202665,202665 0 paid_ins_Facebook Adsfriend app_ios iOS App14.0
2012,65256,65256 112 Directsign up app_ios iOS App04.0
2035,194682,194682 166 paid_ins_organicpartnership app_android Android App04.0
2112,179094,179094 131 paid_ins_Facebook Adssign up app_android Android App04.0
2118,241291,241291 0 paid_ins_organicpartnership app_ios iOS App14.0
2119,30611,30611 179 paid_ins_organicsign up app_android Android App04.0
2156,80416,80416 181 paid_ins_organicsign up app_ios iOS App04.0
2157,66865,66865 278 paid_ins_organicebbonus5 app_ios iOS App04.0
2180,235422,235422 14 paid_ins_organicfriend app_ios iOS App04.0
2183,73429,73429 3 paid_ins_organicpartnership app_android Android App04.0
2190,13066,13066 95 paid_ins_googleadwords_intsign up app_android Android App04.0
2207,29113,29113 0 paid_ins_Facebook Adssign up app_android Android App14.0
2213,138417,138417 327 paid_ins_organicebbonus5 app_android Android App04.0
2219,222175,222175 209 paid_ins_organicsamsung10000 app_ios iOS App04.0
2241,4782,4782 267 paid_ins_organicsign up app_android Android App04.0
2244,96682,96682 15 paid_ins_organicsign up app_android Android App04.0
2247,7614,7614 239 paid_ins_organicsamsung10000 app_android Android App04.0
2261,238166,238166 0 paid_ins_af_bannersign up app_ios iOS App14.0
2338,59004,59004 0 paid_ins_organicsign up app_ios iOS App14.0
2369,100617,100617 119 paid_ins_organicpartnership app_android Android App04.0
2372,240376,240376 191 paid_ins_organicfriend app_android Android App04.0
2386,203142,203142 247 paid_ins_organicsign up app_android Android App04.0
2443,201406,201406 204 paid_ins_organicebbonus5 app_ios iOS App04.0
2459,97897,97897 78 Directpartnership app_android Android App04.0
2465,152435,152435 304 paid_ins_organicsign up app_android Android App04.0
2471,200518,200518 338 paid_ins_organicebbonus5 app_android Android App04.0
2472,90368,90368 266 paid_ins_organicebbonus5 app_android Android App04.0
2541,81292,81292 323 paid_ins_organicebbonus5 app_android Android App04.0
2586,209569,209569 107 paid_ins_organicsign up app_ios iOS App04.0
2630,229232,229232 321 paid_ins_organicebbonus5 app_android Android App04.0
2646,118172,118172 0 paid_ins_organicfriend app_android Android App14.0
2662,1796,1796 309 paid_ins_organicebbonus5 app_ios iOS App04.0
2672,75639,75639 0 Directsign up app_android Android App14.0
2698,86301,86301 243 paid_ins_organicebbonus5 app_ios iOS App04.0
2747,12539,12539 175 paid_ins_gnmperformanckrkoljm app_ios iOS App04.0
2757,246741,246741 97 paid_ins_organicsign up app_ios iOS App04.0
2773,47556,47556 138 paid_ins_organicsign up app_android Android App04.0
2783,130563,130563 127 paid_ins_organicpartnership app_ios iOS App04.0
2791,164341,164341 332 paid_ins_googleadwords_intebbonus5 app_android Android App04.0
2825,114512,114512 0 paid_ins_organicpartnership app_android Android App14.0
2836,206308,206308 300 paid_ins_af_bannerebbonus5 app_ios iOS App04.0
2891,148244,148244 195 paid_ins_organicstarapp app_android Android App04.0
2909,215438,215438 298 paid_ins_organicvip15000 app_ios iOS App04.0
2924,211948,211948 0 paid_ins_organicpartnership app_android Android App14.0
2965,212941,212941 236 paid_ins_organicsign up app_android Android App04.0
2971,56263,56263 258 paid_ins_organicfriend app_ios iOS App04.0
2979,35852,35852 315 Directsign up app_android Android App04.0
2992,141441,141441 0 paid_ins_organicpartnership app_android Android App14.0
3037,47781,47781 0 paid_ins_organicfriend app_ios iOS App14.0
3055,236413,236413 273 paid_ins_organicvisa app_ios iOS App04.0
3060,151662,151662 297 paid_ins_organicvipbonus app_ios iOS App04.0
3086,192697,192697 0 paid_ins_organicpartnership app_android Android App14.0
3126,219899,219899 113 paid_ins_Apple Search Adssign up app_ios iOS App04.0
3130,57091,57091 0 paid_ins_organicpartnership app_android Android App14.0
3142,65908,65908 139 paid_ins_organicsign up app_android Android App04.0
3149,102486,102486 1 paid_ins_organicfriend app_ios iOS App04.0
